Country,2023_Solar_Generation_TWh,2023_Total_Energy_GWh,Current_Solar_Percentage,Missing_Coverage_Percentage,Required_Solar_Capacity_MW
Canada,7.6416020021626005,633.2,1.2068228051425458,98.79317719485745,417038.93199855834
Mexico,27.14334893560024,354.9,7.648168198253097,92.3518318017469,218504.43404293314
US,240.52525252525254,4494.0,5.352141800739932,94.64785819926007,2835649.831649832
Argentina,3.272582200271736,146.4,2.2353703553768685,97.76462964462313,95418.27853315217
Brazil,51.4821,710.0,7.251,92.749,439011.9333333333
Chile,18.17769998976882,88.2,20.609637176608636,79.39036282339137,46681.53334015413
Colombia,1.1998400000000002,93.9,1.2777848775292866,98.72221512247071,61800.10666666668
Ecuador,0.038329999999999996,35.4,0.10827683615819209,99.8917231638418,23574.446666666667
Peru,1.059187794260732,62.1,1.7056164158787954,98.2943835841212,40693.87480382618
Trinidad & Tobago,0.006228,9.7,0.06420618556701031,99.93579381443298,6462.514666666666
Venezuela,0.0013075059655937849,85.8,0.001523899726799283,99.9984761002732,57199.12832935627
Central America,3.3198547524398005,65.3,5.084004215068608,94.9159957849314,41320.0968317068
Other Caribbean,3.046241889421755,84.5,3.6050199874813673,96.39498001251863,54302.50540705215
Other South America,0.959661363675875,83.3,1.1520544581943277,98.84794554180567,54893.55909088274
Austria,5.16403635,72.6,7.112997727272728,92.88700227272727,44957.30909999999
Belgium,7.328769824580518,81.9,8.948436904249716,91.05156309575028,49714.153450279664
Bulgaria,3.4297243895689538,39.9,8.59580047511016,91.40419952488983,24313.517073620693
Croatia,0.3769323232323233,17.3,2.178799556256204,97.82120044374379,11282.045117845119
Cyprus,0.825898774618716,5.4,15.294421752198442,84.70557824780155,3049.400816920856
Czech Republic,2.192066344999997,76.1,2.8805076806833076,97.11949231931669,49271.95577
Denmark,3.477122551287303,33.6,10.348579021688401,89.65142097831159,20081.9182991418
Estonia,0.7319015228187444,7.0,10.455736040267778,89.54426395973222,4178.732318120837
Finland,0.6652307926509187,81.3,0.8182420573812039,99.1817579426188,53756.51280489939
France,22.24763,519.7,4.2808601116028475,95.71913988839715,331634.9133333334
Germany,61.216,513.7,11.916682888845628,88.08331711115437,301656.00000000006
Greece,8.499509179913273,49.8,17.06728750986601,82.932712490134,27533.660546724484
Hungary,6.536622,34.9,18.72957593123209,81.27042406876791,18908.91866666667
Iceland,9.044999999999999e-06,20.2,4.4777227722772275e-05,99.99995522277227,13466.660636666666
Ireland,0.41515555555555556,31.1,1.3349053233297608,98.66509467667024,20456.562962962966
Italy,31.227398827671312,265.3,11.770598879634871,88.22940112036513,156048.40078155245
Latvia,0.047,6.2,0.7580645161290323,99.24193548387096,4102.0
Lithuania,0.3583707553744001,5.4,6.636495469896298,93.3635045301037,3361.086163083733
Luxembourg,0.30186949414929154,2.3,13.12476061518659,86.87523938481341,1332.0870039004722
Netherlands,21.173000000000002,122.3,17.312346688470974,82.68765331152903,67418.0
North Macedonia,0.307467,6.9,4.456043478260869,95.54395652173913,4395.022
Norway,0.5154472592949836,154.8,0.33297626569443384,99.66702373430557,102856.36849380335
Poland,11.668760587840572,167.0,6.98728178912609,93.01271821087391,103554.1596081063
Portugal,5.474,49.2,11.1260162601626,88.8739837398374,29150.66666666667
Romania,1.862512263548203,58.2,3.2001928926945067,96.7998071073055,37558.325157634536
Slovakia,0.6037867078825347,30.3,1.99269540555292,98.00730459444708,19797.47552807831
Slovenia,1.0796923665574192,15.9,6.790518028663013,93.20948197133698,9880.20508896172
Spain,46.84725302436526,282.0,16.61250107246995,83.38749892753005,156768.49798375648
Sweden,3.0980000000000003,166.5,1.860660660660661,98.13933933933934,108934.66666666669
Switzerland,6.043867160430116,73.6,8.211776033193093,91.78822396680691,45037.42189304659
Turkey,20.518881520235556,328.0,6.255756561047426,93.74424343895258,204987.41231984296
Ukraine,5.7082120000000005,103.4,5.5205145067698265,94.47948549323017,65127.85866666667
United Kingdom,13.826500000000001,285.6,4.841211484593837,95.15878851540616,181182.33333333334
Other Europe,1.1084719621906873,97.6,1.1357294694576714,98.86427053054233,64327.68535853954
Azerbaijan,0.07940000000000001,29.3,0.27098976109215017,99.72901023890785,19480.399999999998
Belarus,0.15330000000000002,41.8,0.36674641148325365,99.63325358851675,27764.46666666667
Kazakhstan,1.9576028896699929,113.0,1.7323919377610557,98.26760806223895,74028.26474022001
Russian Federation,2.634875,1178.2,0.2236356306229842,99.77636436937702,783710.0833333334
Turkmenistan,0.00696,33.5,0.020776119402985075,99.97922388059702,22328.693333333333
Uzbekistan,0.319021,78.0,0.40900128205128206,99.59099871794872,51787.31933333334
Other CIS,0.8236546929569267,51.0,1.615009201876327,98.38499079812367,33450.89687136204
Iran,0.7621184849317112,382.9,0.1990385178719538,99.80096148212805,254758.5876767122
Iraq,0.42224713884992987,139.4,0.30290325598990664,99.6970967440101,92651.83524076671
Israel,7.512670042644694,77.2,9.731437879073438,90.26856212092656,46458.219971570215
Kuwait,0.1292615,88.3,0.14638901472253682,99.85361098527747,58780.492333333335
Oman,1.480477598723227,44.3,3.3419358887657498,96.65806411123425,28546.34826751785
Qatar,1.3203640000000003,54.4,2.427139705882354,97.57286029411765,35386.424
Saudi Arabia,4.319243515320673,422.9,1.0213392091086955,98.97866079089131,279053.8376564529
United Arab Emirates,13.748377774378046,165.0,8.332350166289725,91.66764983371027,100834.4148170813
Other Middle East,6.212622046161841,89.1,6.972639782448756,93.02736021755125,55258.251969225435
Algeria,0.649,85.9,0.7555296856810244,99.24447031431897,56834.0
Egypt,5.244259604601733,220.1,2.3826713333038314,97.61732866669617,143237.16026359884
Morocco,2.1106727000000003,42.2,5.0015940758293835,94.99840592417061,26726.2182
South Africa,6.402801,224.4,2.8532981283422463,97.14670187165775,145331.46600000001
Eastern Africa,1.9165184594142963,127.9,1.4984507110354155,98.50154928896458,83988.9876937238
Middle Africa,0.6019130470334638,45.3,1.3287263731423042,98.6712736268577,29798.724635311024
Western Africa,1.3920734525202016,99.0,1.4061348005254561,98.59386519947455,65071.9510316532
Other Northern Africa,0.3910337114156262,52.0,0.7519879065685119,99.24801209343148,34405.97752572291
Other Southern Africa,0.4889528818040435,6.1,8.015621013181041,91.98437898681895,3740.698078797304
Australia,44.994346,273.1,16.475410472354447,83.52458952764556,152070.43600000002
Bangladesh,1.2683123922114952,99.9,1.2695819741856806,98.73041802581432,65754.45840519234
China,584.15,9456.4,6.17729791463982,93.82270208536018,5914833.333333333
China Hong Kong SAR,0.2413088057603759,37.9,0.6366986959376673,99.36330130406233,25105.794129493082
India,113.40933554341684,1958.2,5.791509322000656,94.20849067799935,1229860.4429710556
Indonesia,0.71287,350.6,0.2033285795778665,99.79667142042213,233258.08666666667
Japan,96.99363524433095,1013.3,9.572055190400764,90.42794480959924,610870.9098371126
Malaysia,3.2384,187.8,1.7243876464323749,98.27561235356762,123041.06666666667
New Zealand,0.3758953365342548,44.6,0.8428146559064008,99.1571853440936,29482.7364423105
Pakistan,1.2329454445622865,136.7,0.9019352191384685,99.09806478086153,90311.36970362514
Philippines,2.5097266792182755,119.0,2.1090140161498114,97.89098598385019,77660.18221385448
Singapore,0.9318029123103226,57.4,1.623350021446555,98.37664997855344,37645.46472512645
South Korea,29.368571563567002,617.9,4.752965134094029,95.24703486590597,392354.28562428866
Sri Lanka,1.7169161981654164,16.9,10.159267444765778,89.84073255523423,10122.055867889721
Taiwan,12.908689677999998,282.1,4.575926862105635,95.42407313789437,179460.87354800003
Thailand,5.420992818342217,190.5,2.845665521439484,97.15433447856051,123386.00478777185
Vietnam,25.702,276.4,9.298842257597686,90.70115774240232,167131.99999999997
Other Asia Pacific,2.571178144311934,163.1,1.5764427616872683,98.42355723831272,107019.2145704587
of which: OECD,755.2501619789183,11178.6,6.756214212682432,93.24378578731756,6948899.8920140555
